seller_id,qty_order_by_seller
7040e82f899a04d1b434b795a43b4617,212
8d956fec2e4337affcb520f56fd8cbfd,211
4830e40640734fc1c52cd21127c341d4,210
6edacfd9f9074789dad6d62ba7950b9c,208
cab85505710c7cb9b720bceb52b01cee,206
7178f9f4dd81dcef02f62acdf8151e01,203
ceaec5548eefc6e23e6607c5435102e7,203
e26901d5ab434ce92fd9b5c256820a4e,202
2eb70248d66e0e3ef83659f71b244378,202
1c129092bf23f28a5930387c980c0dfc,201
001cca7ae9ae17fb1caed9dfb1094831,200
54a1852d1b8f10312c55e906355666ee,200
f457c46070d02cadd8a68551231220dd,199
c003204e1ab016dfa150abc119207b24,197
41b39e28db005d9731d9d485a83b4c38,195
f262cbc1c910c83959f849465454ddd3,192
ccc4bbb5f32a6ab2b7066a4130f114e3,187
850f4f8af5ea87287ac68de36e29107f,187
f45122a9ab94eb4f3f8953578bc0c560,187
0c8380b62e38e8a1e6adbeba7eb9688c,182
86ccac0b835037332a596a33b6949ee1,180
813348c996469b40f2e028d5429d3495,179
7d76b645482be4a332374e8223836592,176
95e03ca3d4146e4011985981aeb959b9,175
5656537e588803a555b8eb41f07a944b,174
522620dcb18a6b31cd7bdf73665113a9,174
9b013e03b2ab786505a1d3b5c0756754,174
d98eec89afa3380e14463da2aabaea72,168
1a3df491d1c4f1589fc2b934ada68bf2,167
2e1c9f22be269ef4643f826c9e650a52,167
6d66611d7c44cc30ce351abc49a68421,166
edb1ef5e36e0c8cd84eb3c9b003e486d,166
cbd996ad3c1b7dc71fd0e5f5df9087e2,165
de23c3b98a88888289c6f5cc1209054a,164
0b90b6df587eb83608a64ea8b390cf07,164
2a84855fd20af891be03bc5924d2b453,164
669ae81880e08f269a64487cfb287169,162
a416b6a846a11724393025641d4edd5e,162
0dd184061fb0eaa7ca37932c68ab91c5,161
2528513dd95219a6013d4d05176e391a,161
0be8ff43f22e456b4e0371b2245e4d01,161
537eb890efff034a88679788b647c564,160
b76dba6c951ab00dc4edf0a1aa88037e,159
7e1fb0a3ebfb01ffb3a7dae98bf3238d,159
25c5c91f63607446a97b143d2d535d31,158
004c9cd9d87a3c30c522c48c4fc07416,158
9c0e69c7bf2619675bbadf47b43f655a,157
213b25e6f54661939f11710a6fddb871,155
36a968b544695394e4e9d7572688598f,154
8f2ce03f928b567e3d56181ae20ae952,153
b33e7c55446eabf8fe1a42d037ac7d6d,152
b499c00f28f4b7069ff6550af8c1348a,152
66922902710d126a0e7d26b0e3805106,151
7ad32824caee82087b3e2e5f33b1bf32,151
6cd68b3ed6d59aaa9fece558ad360c0a,149
5cf13accae3222c70a9cac40818ae839,149
cfb1a033743668a192316f3c6d1d2671,147
44073f8b7e41514de3b7815dd0237f4f,144
b4ffb71f0cb1b1c3d63fad021ecf93e1,144
8b28d096634035667e8263d57ba3368c,143
1c68394e931a64f90ea236c5ea590300,142
3c7c4a49ec3c6550809089c6a2ca9370,141
5a8e7d5003a1f221f9e1d6e411de7c23,139
259f7b5e6e482c230e5bfaa670b6bb8f,138
48436dade18ac8b2bce089ec2a041202,138
0bae85eb84b9fb3bd773911e89288d54,137
db4350fd57ae30082dec7acbaacc17f9,137
79ebd9a61bac3eaf882805ed4ecfa12a,136
710e3548e02bc1d2831dfc4f1b5b14d4,136
00ee68308b45bc5e2660cd833c3f81cc,135
ce27a3cc3c8cc1ea79d11e561e9bebb6,135
12b9676b00f60f3b700e83af21824c0e,135
7722b1df1b0e383e000397b2c11e3e19,134
0db783cfcd3b73998abc6e10e59a102f,132
8a32e327fe2c1b3511609d81aaf9f042,132
76d5af76d0271110f9af36c92573f765,131
e9d99831abad74458942f21e16f33f92,130
a3e9a2c700480d9bb01fba070ba80a0e,130
ef0ace09169ac090589d85746e3e036f,129
a673821011d0cec28146ea42f5ab767f,129
aafe36600ce604f205b86b5084d3d767,129
01fdefa7697d26ad920e9e0346d4bd1b,129
7008613ea464bad5cb9b83456e1e6a8f,127
6a8b085f816a1f75f92dbac6eb545f8f,127
c9c7905cffc4ef9ff9f113554423e671,127
2e90cb1677d35cfe24eef47d441b7c87,127
59fb871bf6f4522a87ba567b42dafecf,126
2c9e548be18521d1c43cde1c582c6de8,126
59b22a78efb79a4797979612b885db36,125
cd68562d3f44870c08922d380acae552,125
17a053fcb14bd219540cbde0df490be0,125
080102cd0a76b09e0dcf55fcacc60e05,124
1e8b33f18b4f7598d87f5cbee2282cc2,123
dd7ddc04e1b6c2c614352b383efe2d36,122
c31eff8334d6b3047ed34bebd4d62c36,122
18a349e75d307f4b4cc646a691ed4216,121
229c3efbfb0ea2058de4ccdfbc3d784a,121
e5a38146df062edaf55c38afa99e42dc,121
f80edd2c5aaa505cc4b0a3b219abf4b8,119
f5a590cf36251cf1162ea35bef76fe84,117
431af27f296bc6519d890aa5a05fdb11,117
bfd27a966d91cfaafdb25d076585f0da,117
640e21a7d01df7614a3b4923e990d40c,116
17ca9b9e9b9ef8fdb529001b49ebb50f,116
1ca7077d890b907f89be8c954a02686a,115
6c7d50c24b3ccd2fd83b44d8bb34e073,114
1127b7f2594683f2510f1c2c834a486b,114
fc906263ca5083d09dce42fe02247800,114
c33847515fa6305ce6feb1e818569f13,114
1b4c3a6f53068f0b6944d2d005c9fc89,113
0adac9fbd9a2b63cccaac4f8756c1ca8,110
f4aba7c0bca51484c30ab7bdc34bcdd1,110
289cdb325fb7e7f891c38608bf9e0962,110
febab0275244b9a49a623f0bd613ca2f,109
dbb9b48c841a0e39e21f98e1a6b2ec3e,108
dd2bdf855a9172734fbc3744021ae9b9,108
8c16d1f32a54d92897cc437244442e1b,108
70eea00b476a314817cefde4aad4f89a,108
25e6ffe976bd75618accfe16cefcbd0d,108
b1fc4f64df5a0e8b6913ab38803c57a9,107
612170e34b97004b3ba37eae81836b4c,107
8e6cc767478edae941d9bd9eb778d77a,106
aaed1309374718fdd995ee4c58c9dfcd,105
33a6f4b1e7cdc205511e76ba1b6e0186,105
3b15288545f8928d3e65a8f949a28291,104
42b729f859728f5079499127a9c2ef37,104
